Model,R2,AIC,coef_dw_indep_fresh
OLS,0.36863378902255284,41242.64637970607,-1.14172847375455
Spatial Lag,0.9291189027657029,32826.949483155295,-0.034563376165173354
Spatial Error,0.10545203391907862,32875.394351596406,0.13915691652706544
