Model,R2,AIC,coef_dw_indep_fresh
OLS,0.42859276075114683,36954.8786311721,0.1984506148172633
Spatial Lag,0.9256602367392471,29130.944404595553,0.05783626380582027
Spatial Error,0.21983643190978017,29120.2654053888,0.12466477074695091
