Model,R2,AIC,coef_dw_indep_fresh
OLS,0.13940986208565131,39691.02705771814,-0.9114950792553415
Spatial Lag,0.9260563959249458,29963.699255390784,0.06942960081405414
Spatial Error,0.050405320746051405,29977.653788623495,0.15026692589520607
