Model,R2,AIC,coef_dw_indep_fresh
OLS,0.4437856460402594,36566.30995566579,0.27964153280271803
Spatial Lag,0.9225954233114765,29019.449643670814,0.06768447445129153
Spatial Error,0.23880448549698985,29012.687180993067,0.14710075276521883
