Model,R2,AIC,coef_dw_indep_fresh
OLS,0.19751785649355014,43266.811845438606,-3.361217201575554
Spatial Lag,0.9292594358766161,33640.66315120847,-0.061152339540127
Spatial Error,0.1286404860969579,33672.17609669555,0.14950473542407222
