Model,R2,AIC,coef_dw_indep_fresh
OLS,0.13986156930770888,39413.72981074917,-0.8172388438511624
Spatial Lag,0.9231511950134869,29860.2376101588,0.0740749336820622
Spatial Error,0.047262359280808935,29875.260317702952,0.17522556048548765
